Symbol,Sector,Industry
TELIA.ST,Communication Services,Telecom Services
ERIC-B.ST,Technology,Communication Equipment
VOLV-B.ST,Industrials,Farm & Heavy Construction Machinery
SEB-A.ST,Financial Services,Banks—Regional
SWED-A.ST,Financial Services,Banks—Regional
SHB-A.ST,Financial Services,Banks—Diversified
SAND.ST,Industrials,Specialty Industrial Machinery
HM-B.ST,Consumer Cyclical,Apparel Manufacturing
ABB.ST,Industrials,Specialty Industrial Machinery
ATCO-A.ST,Industrials,Specialty Industrial Machinery
INVE-B.ST,Financial Services,Asset Management
ATCO-B.ST,Industrials,Specialty Industrial Machinery
STE-R.ST,Basic Materials,Paper & Paper Products
HEXA-B.ST,Technology,Scientific & Technical Instruments
INDU-C.ST,Financial Services,Asset Management
AZN.ST,Healthcare,Drug Manufacturers—General
LUND-B.ST,Financial Services,Asset Management
STE-A.ST,Basic Materials,Paper & Paper Products
PFE.ST,Healthcare,Drug Manufacturers—General
