Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,84.0,82.25,82.5,83.5,355749.0,58.920318603515625
2010-01-05,85.0,83.5,83.5,84.75,252123.0,59.80235290527344
2010-01-07,85.0,84.0,84.75,84.75,312897.0,59.80235290527344
2010-01-08,86.0,84.75,85.0,85.75,183800.0,60.50799560546875
2010-01-11,87.0,85.5,86.0,85.5,215163.0,60.33158874511719
2010-01-12,85.5,83.0,85.25,83.0,886816.0,58.5675048828125
2010-01-13,83.75,82.5,83.0,83.25,487653.0,58.74391174316406
2010-01-14,85.5,84.0,84.5,84.5,425060.0,59.62596130371094
2010-01-15,85.75,83.75,85.75,84.0,310400.0,59.27313995361328
2010-01-18,84.75,83.75,84.25,84.5,155154.0,59.62596130371094
2010-01-19,85.25,83.0,84.5,85.0,333268.0,59.97876739501953
2010-01-20,85.25,82.25,85.0,82.5,582743.0,58.214683532714844
2010-01-21,83.5,80.25,83.25,80.25,646803.0,56.627017974853516
2010-01-22,81.5,79.5,80.25,79.75,566293.0,56.27418899536133
2010-01-25,81.0,79.0,79.25,79.5,506400.0,56.0977897644043
2010-01-26,79.5,78.5,79.5,79.5,420550.0,56.0977897644043
2010-01-27,80.75,79.0,79.25,79.75,436652.0,56.27418899536133
2010-01-28,81.25,79.5,80.75,80.0,1154275.0,56.450599670410156
2010-01-29,82.0,80.0,80.0,82.0,161377.0,57.86186981201172
2010-02-01,82.5,81.0,81.5,82.5,245699.0,58.214683532714844
2010-02-02,84.0,82.25,82.75,84.0,176618.0,59.27313995361328
2010-02-03,84.0,82.25,84.0,82.75,388794.0,58.39109802246094
2010-02-04,83.25,80.25,83.0,80.5,218284.0,56.803409576416016
2010-02-05,80.0,78.25,79.75,79.25,876550.0,55.92137908935547
2010-02-08,79.75,78.0,79.75,78.75,302712.0,55.56856918334961
2010-02-09,79.0,77.75,77.75,78.25,558203.0,55.21575164794922
2010-02-10,79.25,76.5,78.75,76.75,556038.0,54.15730285644531
2010-02-11,78.25,76.5,77.25,77.75,360250.0,54.86293029785156
2010-02-12,78.5,76.5,78.5,77.25,283544.0,54.5101203918457
2010-02-15,77.5,75.5,77.0,76.25,282152.0,53.80448913574219
2010-02-16,77.5,76.0,76.75,77.5,226544.0,54.686527252197266
2010-02-17,79.0,78.0,78.0,79.0,281480.0,55.74497604370117
2010-02-18,79.0,77.75,79.0,78.5,322970.0,55.39216232299805
2010-02-19,79.0,77.5,78.0,78.75,153442.0,55.56856918334961
2010-02-22,79.25,78.5,79.25,79.0,217217.0,55.74497604370117
2010-02-23,79.5,77.75,79.0,78.0,138123.0,55.039344787597656
2010-02-24,78.25,77.5,77.75,78.0,148281.0,55.039344787597656
2010-02-25,78.5,77.0,78.0,77.0,149244.0,54.333717346191406
2010-02-26,78.75,77.25,78.25,78.75,193768.0,55.56856918334961
2010-03-01,80.0,79.0,79.0,80.0,405561.0,56.450599670410156
2010-03-02,80.25,79.0,80.0,80.25,744632.0,56.627017974853516
2010-03-03,80.5,79.75,80.25,79.75,610760.0,56.27418899536133
2010-03-04,81.25,79.75,79.75,80.75,508027.0,56.97983169555664
2010-03-05,83.0,81.25,81.25,82.75,506504.0,58.39109802246094
2010-03-08,84.0,82.75,82.75,83.25,540315.0,58.74391174316406
2010-03-09,83.75,82.5,83.25,83.75,185088.0,59.09672546386719
2010-03-10,85.0,83.25,83.25,84.5,600094.0,59.62596130371094
2010-03-11,85.5,84.0,84.5,85.5,502667.0,60.33158874511719
2010-03-12,87.25,85.25,85.25,87.0,826110.0,61.39003372192383
2010-03-15,87.75,86.25,86.5,87.25,479816.0,61.56644821166992
2010-03-16,88.75,87.0,88.0,88.25,1495002.0,62.27206802368164
2010-03-17,90.0,88.25,88.75,90.0,680325.0,63.50693130493164
2010-03-18,89.5,88.25,89.5,89.5,778136.0,63.15412139892578
2010-03-19,89.75,89.0,89.5,89.75,942054.0,63.33052444458008
2010-03-22,90.75,88.25,89.75,89.75,655762.0,63.33052444458008
2010-03-23,91.25,89.75,90.0,91.0,495148.0,64.21257019042969
2010-03-24,91.5,90.0,91.25,91.0,587369.0,64.21257019042969
2010-03-25,91.75,90.5,90.75,91.25,221320.0,64.38897705078125
2010-03-26,91.75,91.0,91.25,91.25,148999.0,64.38897705078125
2010-03-29,92.5,91.5,92.0,92.0,315999.0,64.91819763183594
2010-03-30,92.5,91.5,92.25,91.5,675785.0,64.56538391113281
2010-03-31,92.0,90.75,91.75,91.75,378816.0,64.74179077148438
2010-04-01,92.75,91.75,92.75,92.75,171080.0,65.44742584228516
2010-04-06,94.0,92.75,94.0,93.75,495764.0,66.1530532836914
2010-04-07,94.0,93.25,93.75,94.0,166642.0,66.32946014404297
2010-04-08,94.25,92.5,94.0,94.25,238996.0,66.50587463378906
2010-04-09,95.25,94.0,94.0,94.75,379080.0,66.85868072509766
2010-04-12,95.75,95.25,95.5,95.5,143358.0,67.3879165649414
2010-04-13,96.25,94.25,95.0,96.25,512845.0,67.9171371459961
2010-04-14,97.0,95.5,96.25,96.25,390772.0,67.9171371459961
2010-04-15,97.75,96.0,97.0,97.75,372984.0,68.97557830810547
2010-04-16,100.25,97.75,98.0,98.75,440764.0,69.68121337890625
2010-04-19,98.25,97.0,97.5,97.0,221862.0,68.44636535644531
2010-04-20,99.0,97.5,98.25,98.5,153249.0,69.50480651855469
2010-04-21,99.0,96.75,98.5,97.0,443589.0,68.44636535644531
2010-04-22,98.0,96.5,96.75,97.25,542154.0,68.62276458740234
2010-04-23,99.75,98.25,99.25,99.25,685139.0,70.03404235839844
2010-04-26,100.5,98.0,100.0,98.25,378296.0,69.32840728759766
2010-04-27,99.0,96.0,98.75,96.0,717906.0,67.74072265625
2010-04-28,97.25,94.0,95.0,95.0,672018.0,67.03509521484375
2010-04-29,98.25,94.5,95.25,98.25,559498.0,69.32840728759766
2010-04-30,100.0,98.0,98.5,100.0,155762.0,70.5632553100586
2010-05-03,100.0,98.25,99.25,99.5,178826.0,70.21044921875
2010-05-04,100.75,98.0,100.0,98.0,907916.0,69.15198516845703
2010-05-05,98.0,95.25,97.0,96.25,1405205.0,67.9171371459961
2010-05-06,94.5,89.5,94.0,90.0,2131772.0,65.550048828125
2010-05-07,88.0,81.75,85.75,85.0,1812509.0,61.90837478637695
2010-05-10,91.5,88.25,89.0,89.5,815692.0,65.18587493896484
2010-05-11,90.0,86.0,89.75,87.5,785109.0,63.72920608520508
2010-05-12,90.5,86.5,87.5,90.25,365058.0,65.73213195800781
2010-05-14,91.0,87.25,90.75,87.25,145364.0,63.547142028808594
2010-05-17,88.75,85.5,87.0,86.5,315695.0,63.000892639160156
2010-05-18,88.25,87.0,88.0,87.0,225274.0,63.36503601074219
2010-05-19,87.25,82.75,86.5,85.5,682986.0,62.272544860839844
2010-05-20,86.25,81.5,85.5,83.0,738352.0,60.45170974731445
2010-05-21,84.75,82.25,82.5,83.5,501689.0,60.815887451171875
2010-05-25,83.25,82.0,83.0,82.75,428302.0,60.269630432128906
2010-05-26,85.5,84.0,85.0,84.5,334630.0,61.544212341308594
2010-05-27,87.25,84.75,85.5,87.25,336282.0,63.547142028808594
2010-05-28,88.5,86.5,88.5,86.75,143972.0,63.18295669555664
2010-05-31,87.75,87.0,87.5,87.5,118517.0,63.72920608520508
2010-06-01,88.0,85.25,87.5,88.0,242800.0,64.0933837890625
2010-06-02,88.75,86.5,87.5,88.75,309448.0,64.63963317871094
2010-06-03,90.0,89.0,89.75,89.25,148977.0,65.00379180908203
2010-06-04,91.0,87.0,90.5,87.0,247153.0,63.36503601074219
2010-06-07,87.25,84.75,84.75,85.30000305175781,331141.0,62.12688064575195
2010-06-08,86.05000305175781,84.30000305175781,85.55000305175781,85.75,232853.0,62.45463180541992
2010-06-09,87.75,85.30000305175781,85.6500015258789,87.5999984741211,200178.0,63.80204391479492
2010-06-10,89.75,86.5,87.05000305175781,89.0,229561.0,64.82171630859375
2010-06-11,89.94999694824219,88.6500015258789,89.0,89.4000015258789,293647.0,65.11305236816406
2010-06-14,91.75,90.0,90.0,91.30000305175781,241827.0,66.49688720703125
2010-06-15,92.0,91.0,91.19999694824219,92.0,277364.0,67.0067138671875
2010-06-16,92.75,90.55000305175781,92.5,92.30000305175781,280004.0,67.2252197265625
2010-06-17,92.8499984741211,91.3499984741211,91.5,92.0,180554.0,67.0067138671875
2010-06-18,93.6500015258789,92.0,92.0,92.55000305175781,299982.0,67.40729522705078
2010-06-21,95.0,93.5,93.5,94.05000305175781,145886.0,68.49981689453125
2010-06-22,94.3499984741211,92.1500015258789,94.3499984741211,92.80000305175781,266099.0,67.58939361572266
2010-06-23,93.30000305175781,91.19999694824219,92.0,91.30000305175781,400706.0,66.49688720703125
2010-06-24,92.0999984741211,87.69999694824219,92.0999984741211,87.69999694824219,450345.0,63.874881744384766
2010-06-28,89.0999984741211,87.4000015258789,88.30000305175781,88.05000305175781,510406.0,64.12979888916016
2010-06-29,87.9000015258789,84.3499984741211,87.9000015258789,84.3499984741211,527511.0,61.434967041015625
2010-06-30,85.55000305175781,83.0,85.0,83.9000015258789,843503.0,61.10721969604492
2010-07-01,83.55000305175781,80.25,83.30000305175781,80.9000015258789,626679.0,58.92221450805664
2010-07-02,82.30000305175781,81.0,81.0999984741211,81.0,361512.0,58.99504470825195
2010-07-05,82.5,81.1500015258789,81.80000305175781,82.25,313466.0,59.90546798706055
2010-07-06,86.5,82.5,83.5,85.9000015258789,540743.0,62.56388854980469
2010-07-07,88.30000305175781,84.55000305175781,86.19999694824219,87.9000015258789,403852.0,64.02055358886719
2010-07-08,89.19999694824219,87.44999694824219,89.0,87.5,213615.0,63.72920608520508
2010-07-09,88.94999694824219,87.55000305175781,87.55000305175781,88.3499984741211,226113.0,64.34831237792969
2010-07-12,88.8499984741211,87.80000305175781,88.4000015258789,87.9000015258789,359383.0,64.02055358886719
2010-07-13,90.30000305175781,87.9000015258789,88.0999984741211,90.30000305175781,391730.0,65.76854705810547
2010-07-14,91.25,89.44999694824219,90.69999694824219,89.75,328073.0,65.36796569824219
2010-07-15,91.1500015258789,88.80000305175781,90.25,89.55000305175781,329787.0,65.22230529785156
2010-07-16,89.94999694824219,86.6500015258789,89.55000305175781,86.6500015258789,383094.0,63.11012649536133
2010-07-19,88.6500015258789,86.05000305175781,87.0,87.69999694824219,374654.0,63.874881744384766
2010-07-20,88.3499984741211,85.5999984741211,88.05000305175781,86.8499984741211,332971.0,63.255794525146484
2010-07-21,91.19999694824219,87.5999984741211,87.5999984741211,88.5,471977.0,64.45755767822266
2010-07-22,91.05000305175781,87.8499984741211,88.5,91.05000305175781,126942.0,66.31480407714844
2010-07-23,91.5999984741211,89.55000305175781,90.9000015258789,90.0,267744.0,65.550048828125
2010-07-26,91.0,89.5,90.3499984741211,89.94999694824219,144504.0,65.51362609863281
2010-07-27,90.75,89.9000015258789,90.44999694824219,90.0,115486.0,65.550048828125
2010-07-28,90.69999694824219,89.4000015258789,90.30000305175781,89.5999984741211,282883.0,65.25870513916016
2010-07-29,90.94999694824219,88.9000015258789,89.94999694824219,90.0,176937.0,65.550048828125
2010-07-30,91.30000305175781,88.8499984741211,89.94999694824219,90.4000015258789,302647.0,65.84137725830078
2010-08-02,91.94999694824219,90.69999694824219,91.0,91.75,326000.0,66.82463073730469
2010-08-03,92.1500015258789,90.5,92.0,91.05000305175781,255727.0,66.31480407714844
2010-08-04,92.0,90.30000305175781,91.80000305175781,91.94999694824219,175188.0,66.97029876708984
2010-08-05,93.9000015258789,91.5999984741211,91.5999984741211,93.0,266939.0,67.73506164550781
2010-08-06,94.0,91.69999694824219,93.0,92.25,392296.0,67.18880462646484
2010-08-09,93.6500015258789,91.9000015258789,92.55000305175781,92.0999984741211,240803.0,67.07954406738281
2010-08-10,92.0,90.1500015258789,92.0,90.1500015258789,255499.0,65.6593017578125
2010-08-11,90.0,86.94999694824219,90.0,86.94999694824219,253911.0,63.328643798828125
2010-08-12,88.5999984741211,86.25,86.9000015258789,87.19999694824219,290470.0,63.51070785522461
2010-08-13,88.25,86.19999694824219,88.0999984741211,88.05000305175781,120895.0,64.12979888916016
2010-08-16,88.5,86.5,88.0,88.19999694824219,233680.0,64.23904418945312
2010-08-17,89.44999694824219,88.19999694824219,88.19999694824219,89.19999694824219,105133.0,64.9673843383789
2010-08-18,89.5,88.4000015258789,89.44999694824219,88.69999694824219,124625.0,64.60321807861328
2010-08-19,89.30000305175781,87.0,88.80000305175781,87.0999984741211,131331.0,63.4378776550293
2010-08-20,87.8499984741211,85.9000015258789,87.19999694824219,86.0,254776.0,62.63671112060547
2010-08-23,86.8499984741211,85.30000305175781,86.0999984741211,85.80000305175781,165789.0,62.49104309082031
2010-08-24,85.69999694824219,82.1500015258789,85.69999694824219,83.30000305175781,357940.0,60.67020797729492
2010-08-25,84.0,81.5999984741211,83.25,82.69999694824219,213632.0,60.23320388793945
2010-08-26,84.0,82.80000305175781,83.5,83.0,291628.0,60.45170974731445
2010-08-27,84.25,82.4000015258789,83.30000305175781,84.25,523821.0,61.362117767333984
2010-08-30,84.80000305175781,82.69999694824219,84.0,84.1500015258789,447560.0,61.28929138183594
2010-08-31,85.0999984741211,82.19999694824219,83.0999984741211,85.0,732258.0,61.90837478637695
2010-09-01,89.25,84.5999984741211,85.30000305175781,89.25,744785.0,65.00379180908203
2010-09-02,89.69999694824219,87.80000305175781,88.80000305175781,88.9000015258789,463299.0,64.7488784790039
2010-09-03,90.05000305175781,88.69999694824219,88.9000015258789,89.5,266141.0,65.18587493896484
2010-09-06,90.5,89.25,89.6500015258789,89.75,162458.0,65.36796569824219
2010-09-07,89.69999694824219,88.05000305175781,89.69999694824219,88.3499984741211,217117.0,64.34831237792969
