Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,132.0,129.0,131.0,132.0,7603.0,125.86144256591797
2010-01-05,134.5,132.0,132.0,134.0,2611.0,127.7684326171875
2010-01-07,133.0,131.25,133.0,132.0,4189.0,125.86144256591797
2010-01-08,134.0,130.75,130.75,133.0,6365.0,126.81495666503906
2010-01-11,132.5,131.5,131.5,131.75,2562.0,125.62307739257812
2010-01-12,133.0,130.5,131.5,133.0,9715.0,126.81495666503906
2010-01-13,134.0,131.5,132.0,134.0,2303.0,127.7684326171875
2010-01-14,135.75,129.25,129.25,134.75,11887.0,128.48361206054688
2010-01-15,137.5,135.75,136.5,136.5,3968.0,130.1522216796875
2010-01-18,137.5,136.0,136.0,136.5,21803.0,130.1522216796875
2010-01-19,141.0,136.5,137.25,140.5,18279.0,133.96620178222656
2010-01-20,145.5,140.5,140.5,143.75,47015.0,137.0651092529297
2010-01-21,144.0,139.75,141.75,140.0,15184.0,133.489501953125
2010-01-22,140.0,137.5,139.75,140.0,5735.0,133.489501953125
2010-01-25,138.5,136.5,137.0,137.0,8932.0,130.6289520263672
2010-01-26,137.5,136.5,137.5,137.0,6694.0,130.6289520263672
2010-01-27,139.0,136.0,137.75,139.0,6511.0,132.53594970703125
2010-01-28,140.0,138.25,139.0,139.25,3499.0,132.77430725097656
2010-01-29,138.0,136.0,136.0,137.0,1393.0,130.6289520263672
2010-02-01,137.5,136.25,137.0,137.5,6940.0,131.10568237304688
2010-02-02,138.0,136.25,136.25,137.75,2071.0,131.34405517578125
2010-02-03,139.0,134.5,137.5,135.0,15388.0,128.89041137695312
2010-02-04,135.0,133.0,134.75,133.5,8607.0,127.45825958251953
2010-02-05,134.5,132.5,134.0,134.0,7067.0,127.93560028076172
2010-02-08,133.0,132.5,133.0,133.0,1974.0,126.98088836669922
2010-02-09,132.0,130.25,132.0,131.75,4513.0,125.78746032714844
2010-02-10,131.0,129.8070068359375,130.25,129.8070068359375,200836.0,123.93243408203125
2010-02-11,129.25,128.72999572753906,129.0,129.0,194936.0,123.16194915771484
2010-02-12,132.0,128.0,132.0,128.0,198374.0,122.2071533203125
2010-02-15,129.5,127.0,128.0,127.5,3113.0,121.72980499267578
2010-02-16,130.0,127.25,127.25,129.0,7505.0,123.16194915771484
2010-02-17,128.25,126.25,128.0,126.25,2122.0,120.5363998413086
2010-02-18,127.5,126.25,126.25,126.75,6772.0,121.01375579833984
